CBSA,NAME,LON,LAT,POP,ALAND,AWATER,IS_MSA,CSA,ISCUS
30900,"Logansport, IN",-86.33897400000001,40.747129,37870,412.144,2.704,false,,true
31140,"Louisville/Jefferson County, KY-IN",-85.68278107358012,38.21242378658255,1362180,3959.958000000001,80.03,true,350,true
45460,"Terre Haute, IN",-87.3512390418637,39.44525981937527,168875,1465.246,19.552999999999997,true,,true
23140,"Frankfort, IN",-86.513556,40.297795,33190,405.067,0.178,false,320,true
47780,"Washington, IN",-87.09615800000002,38.697526,33381,429.499,7.375,false,,true
17140,"Cincinnati, OH-KY-IN",-84.46550546903245,39.19364160114535,2249797,4385.259,80.53500000000001,true,178,true
24700,"Greensburg, IN",-85.493081,39.320693,26472,372.568,0.755,false,294,true
12140,"Auburn, IN",-85.034535,41.377157,43265,362.833,1.026,false,258,true
34620,"Muncie, IN",-85.402908,40.20524,111903,392.101,3.808,true,294,true
27540,"Jasper, IN",-86.91567399999998,38.35868,43637,427.265,8.069,false,,true
21140,"Elkhart-Goshen, IN",-85.905688,41.637245,207047,463.161,4.81,true,515,true
18220,"Connersville, IN",-85.14725200000001,39.64037,23398,215.021,0.141,false,458,true
31980,"Marion, IN",-85.644184,40.525256,66674,414.089,0.812,false,,true
35220,"New Castle, IN",-85.40373800000002,39.928844,48914,391.877,2.954,false,294,true
29020,"Kokomo, IN",-86.133562,40.470296,83658,293.074,0.847,true,294,true
26540,"Huntington, IN",-85.486182,40.869855,36662,382.649,5.071,false,258,true
42980,"Seymour, IN",-85.93629399999999,38.928711,46428,509.978,3.928,false,294,true
31500,"Madison, IN",-85.433151,38.758699,33147,360.64,2.372,false,,true
47180,"Vincennes, IN",-87.454832,38.699306,36282,515.827,8.067,false,,true
47700,"Warsaw, IN",-85.83050900000002,41.267835,80240,531.444,22.949,false,515,true
33140,"Michigan City-La Porte, IN",-86.791226,41.632279,112417,598.287,14.973,true,176,true
13260,"Bedford, IN",-86.495942,38.847818,45011,449.146,2.783,false,144,true
38500,"Plymouth, IN",-86.272256,41.347653,46095,443.62,6.123,false,515,true
37940,"Peru, IN",-86.07611100000001,40.729384,35962,373.842,3.546,false,294,true
